template,message_id,status,approved,rejected,invalid_format,error,text,cta,link,backup_json
Ducapes Finance - US-CC-EN/EN-SR - g001-d Icaro,8,ERROR,0,0,0,1,🔔 (1) NEW CARD UPDATE Your Credit Card status has changed to: APPROVED. Tap to see your starting limit and shipping date.,📥 READ STATUS,https://finance.ducapes.com/dp-f-us-cc-en-mct-005/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/ducapes-finance---us-cc-en-en-sr---g001-d-icaro-before-rollout-20260701-160109.json
Ducapes Finance - US-CC-EN/EN-SR - g001-d Icaro,9,ERROR,0,0,0,1,"✅ REQUEST RECEIVED {{first_name}}, your Credit Card request was received successfully. One confirmation step is available before the next review.",✅ CONFIRM NOW,https://finance.ducapes.com/dp-f-us-cc-en-mct-005-2/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/ducapes-finance---us-cc-en-en-sr---g001-d-icaro-before-rollout-20260701-160109.json
Ducapes Finance - US-CC-EN/EN-SR - g001-d Icaro,10,ERROR,0,0,0,1,📍 STATUS CONFIRMED Your Credit Card request moved to the final review step. Open the update and finish the process.,🟢 FINISH PROCESS,https://finance.ducapes.com/dp-f-us-cc-en-mct-006/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/ducapes-finance---us-cc-en-en-sr---g001-d-icaro-before-rollout-20260701-160109.json
Openzed - US-CC-EN/EN - AV - g001-d Icaro,1,REJECTED,0,9,0,9,"⚠️ Important update, {{first_name}} I have new information regarding your recent applications, and it may directly affect your credit card approval. Take a moment to review the next steps. 👇 When you're ready, choose your next step below:",🔍 SEE RESPONSE OF MY CARD,https://card.openzed.com/Bgp9Xtjq/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=openzed-us-cc-en-bd&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/openzed---us-cc-en-en---av---g001-d-icaro-before-rollout-20260701-160109.json
Openzed - US-CC-EN/EN - AV - g001-d Icaro,2,REJECTED,0,9,0,9,"📬 UNCLAIMED PACKAGE — {{first_name}}, a Credit Card package worth $14,200 in limit is sitting unclaimed under your name. It's at the sorting center. Claim the delivery before it gets returned.",🚚 CLAIM DELIVERY,https://card.openzed.com/Bgp9Xtjq/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=openzed-us-cc-en-bd&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/openzed---us-cc-en-en---av---g001-d-icaro-before-rollout-20260701-160109.json
Openzed - US-CC-EN/EN - AV - g001-d Icaro,3,REJECTED,0,7,0,5,"💳 CREDIT CARD APPROVED Congratulations, {{first_name}}! Your new Credit Card is ready for dispatch. We just need you to confirm the delivery address.",🚚 CONFIRM NOW,https://card.openzed.com/Bgp9Xtjq/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=openzed-us-cc-en-bd&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/openzed---us-cc-en-en---av---g001-d-icaro-before-rollout-20260701-160109.json
Openzed - US-CC-EN/EN - AV - g001-d Icaro,4,REJECTED,0,3,0,14,"✅ DELIVERY CONFIRMED Your card with $15,000 limit is being prepared for dispatch Verify your details to ship.",🚚 SHIP MY CARD,https://card.openzed.com/Bgp9Xtjq/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=openzed-us-cc-en-bd&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/openzed---us-cc-en-en---av---g001-d-icaro-before-rollout-20260701-160109.json
Openzed - US-CC-EN/EN - AV - g001-d Icaro,5,REJECTED,0,3,0,14,"⚡ CARD DISPATCHED — No waiting. {{first_name}}, your Credit Card was approved instantly and is already in the system for delivery. Tap to assign the courier and receive it today.",🚚 ASSIGN COURIER,https://card.openzed.com/Bgp9Xtjq/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=openzed-us-cc-en-bd&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/openzed---us-cc-en-en---av---g001-d-icaro-before-rollout-20260701-160109.json
Openzed - US-CC-EN/EN - AV - g001-d Icaro,6,REJECTED,0,3,0,9,📦 SHIPMENT UPDATE Your Credit Card package is waiting for one final confirmation before dispatch. Review your information here.,📦 REVIEW INFO,https://card.openzed.com/Bgp9Xtjq/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=openzed-us-cc-en-bd&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/openzed---us-cc-en-en---av---g001-d-icaro-before-rollout-20260701-160109.json
Openzed - US-CC-EN/EN - AV - g001-d Icaro,7,REJECTED,0,3,0,9,"✅ AUTHORIZED: {{first_name}}, you are cleared to activate your new card. No more waiting. Tap to start.",🚀 ACTIVATE NOW,https://card.openzed.com/Bgp9Xtjq/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=openzed-us-cc-en-bd&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/openzed---us-cc-en-en---av---g001-d-icaro-before-rollout-20260701-160109.json
Openzed - US-CC-EN/EN - AV - g001-d Icaro,8,REJECTED,0,2,0,11,🔔 (1) NEW CARD UPDATE Your Credit Card status has changed to: APPROVED. Tap to see your starting limit and shipping date.,📥 READ STATUS,https://card.openzed.com/Bgp9Xtjq/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=openzed-us-cc-en-bd&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/openzed---us-cc-en-en---av---g001-d-icaro-before-rollout-20260701-160109.json
Openzed - US-CC-EN/EN - AV - g001-d Icaro,9,ERROR,2,0,0,11,"✅ REQUEST RECEIVED {{first_name}}, your Credit Card request was received successfully. One confirmation step is available before the next review.",✅ CONFIRM NOW,https://card.openzed.com/Bgp9Xtjq/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=openzed-us-cc-en-bd&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/openzed---us-cc-en-en---av---g001-d-icaro-before-rollout-20260701-160109.json
Openzed - US-CC-EN/EN - AV - g001-d Icaro,10,REJECTED,0,2,0,10,📍 STATUS CONFIRMED Your Credit Card request moved to the final review step. Open the update and finish the process.,🟢 FINISH PROCESS,https://card.openzed.com/Bgp9Xtjq/?utm_source=facebook&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_term=openzed-us-cc-en-bd&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/openzed---us-cc-en-en---av---g001-d-icaro-before-rollout-20260701-160109.json
Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,1,ERROR,0,0,0,4,📬 DELIVERY NOTICE Your Credit Card package needs a delivery confirmation before it can move. Confirm your details here.,📬 CONFIRM NOW,https://eggbev.com/eb-us-cc-en-mct-007/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/eggbev---us-cc-en-en-sr---g006-d-nicolas-before-rollout-20260701-160109.json
Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,2,ERROR,0,0,0,4,📍 STATUS CHECKPOINT Your Credit Card request reached a new checkpoint. Review the status and confirm the next step below.,📍 CHECK STATUS,https://eggbev.com/eb-us-cc-en-mct-008/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/eggbev---us-cc-en-en-sr---g006-d-nicolas-before-rollout-20260701-160109.json
Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,3,ERROR,0,0,0,4,"📦 PRIORITY SHIPMENT READY — {{first_name}}, based on your history, your 5-star card was moved to priority dispatch. Your package is queued — tap to confirm before the slot is reassigned.",🚚 CLAIM SHIPMENT,https://eggbev.com/eb-us-cc-en-mct-009/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/eggbev---us-cc-en-en-sr---g006-d-nicolas-before-rollout-20260701-160109.json
Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,4,ERROR,0,0,0,4,"✈️ INTERNATIONAL CARD — READY TO SHIP — {{first_name}}, your International Credit Card cleared customs processing. It's at the fulfillment center. Confirm your address to release the shipment.",🌍 RELEASE SHIPMENT,https://eggbev.com/eb-us-cc-en-mct-010/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/eggbev---us-cc-en-en-sr---g006-d-nicolas-before-rollout-20260701-160109.json
Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,5,ERROR,0,0,0,4,📦 CARD PACKAGE READY Your Credit Card kit is prepared and waiting for delivery confirmation. Confirm your details to continue.,✅ CONFIRM DETAILS,https://eggbev.com/eb-us-cc-en-mct-010-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/eggbev---us-cc-en-en-sr---g006-d-nicolas-before-rollout-20260701-160109.json
Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,6,ERROR,0,0,0,4,🚚 COURIER STEP READY The courier step for your Credit Card package is available. Confirm the delivery information to continue.,🚚 START DELIVERY,https://eggbev.com/eb-us-cc-en-mct-011/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/eggbev---us-cc-en-en-sr---g006-d-nicolas-before-rollout-20260701-160109.json
Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,7,ERROR,0,0,0,4,💳 CARD REVIEW READY Your Credit Card review is available now. Check the details prepared for your profile and continue from the secure page.,💳 REVIEW CARD,https://eggbev.com/eb-us-cc-en-mct-012/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/eggbev---us-cc-en-en-sr---g006-d-nicolas-before-rollout-20260701-160109.json
Eggbev - US-CC-EN/EN-SR - g006-d Nicolas,8,ERROR,0,0,0,4,📝 CARD REQUEST REVIEW Your Credit Card request review is ready. Check the details and confirm the next step.,📝 REVIEW NOW,https://eggbev.com/eb-us-cc-en-mct-012-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/eggbev---us-cc-en-en-sr---g006-d-nicolas-before-rollout-20260701-160109.json
Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,1,REJECTED,55,1,0,39,"⚠️ Important update, {{first_name}} I have new information regarding your recent applications, and it may directly affect your credit card approval. Take a moment to review the next steps. 👇 When you're ready, choose your next step below:",🔍 SEE RESPONSE OF MY CARD,https://lyzmo.com/ly-us-cc-en-mct-001/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/lyzmo---us-cc-en-en-sr---g006-d-nicolas-before-rollout-20260701-160109.json
Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,2,ERROR,56,0,0,39,"📬 UNCLAIMED PACKAGE — {{first_name}}, a Credit Card package worth $14,200 in limit is sitting unclaimed under your name. It's at the sorting center. Claim the delivery before it gets returned.",🚚 CLAIM DELIVERY,https://lyzmo.com/ly-us-cc-en-mct-001-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/lyzmo---us-cc-en-en-sr---g006-d-nicolas-before-rollout-20260701-160109.json
Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,3,ERROR,52,0,0,36,"💳 CREDIT CARD APPROVED Congratulations, {{first_name}}! Your new Credit Card is ready for dispatch. We just need you to confirm the delivery address.",🚚 CONFIRM NOW,https://lyzmo.com/ly-us-cc-en-mct-002/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/lyzmo---us-cc-en-en-sr---g006-d-nicolas-before-rollout-20260701-160109.json
Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,4,ERROR,52,0,0,35,"✅ DELIVERY CONFIRMED Your card with $15,000 limit is being prepared for dispatch Verify your details to ship.",🚚 SHIP MY CARD,https://lyzmo.com/ly-us-cc-en-mct-002-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/lyzmo---us-cc-en-en-sr---g006-d-nicolas-before-rollout-20260701-160109.json
Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,5,ERROR,52,0,0,35,"⚡ CARD DISPATCHED — No waiting. {{first_name}}, your Credit Card was approved instantly and is already in the system for delivery. Tap to assign the courier and receive it today.",🚚 ASSIGN COURIER,https://lyzmo.com/ly-us-cc-en-mct-003/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/lyzmo---us-cc-en-en-sr---g006-d-nicolas-before-rollout-20260701-160109.json
Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,6,ERROR,52,0,0,35,📦 SHIPMENT UPDATE Your Credit Card package is waiting for one final confirmation before dispatch. Review your information here.,📦 REVIEW INFO,https://lyzmo.com/ly-us-cc-en-mct-003-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/lyzmo---us-cc-en-en-sr---g006-d-nicolas-before-rollout-20260701-160109.json
Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,7,ERROR,52,0,0,35,"✅ AUTHORIZED: {{first_name}}, you are cleared to activate your new card. No more waiting. Tap to start.",🚀 ACTIVATE NOW,https://lyzmo.com/ly-us-cc-en-mct-004/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/lyzmo---us-cc-en-en-sr---g006-d-nicolas-before-rollout-20260701-160109.json
Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,8,ERROR,97,0,0,67,🔔 (1) NEW CARD UPDATE Your Credit Card status has changed to: APPROVED. Tap to see your starting limit and shipping date.,📥 READ STATUS,https://lyzmo.com/ly-us-cc-en-mct-005/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/lyzmo---us-cc-en-en-sr---g006-d-nicolas-before-rollout-20260701-160109.json
Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,9,ERROR,100,0,0,65,"✅ REQUEST RECEIVED {{first_name}}, your Credit Card request was received successfully. One confirmation step is available before the next review.",✅ CONFIRM NOW,https://lyzmo.com/ly-us-cc-en-mct-005-2/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/lyzmo---us-cc-en-en-sr---g006-d-nicolas-before-rollout-20260701-160109.json
Lyzmo - US-CC-EN/EN-SR - g006-d Nicolas,10,ERROR,53,0,0,36,📍 STATUS CONFIRMED Your Credit Card request moved to the final review step. Open the update and finish the process.,🟢 FINISH PROCESS,https://lyzmo.com/ly-us-cc-en-mct-006/?utm_source=mct&utm_medium=g006-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/lyzmo---us-cc-en-en-sr---g006-d-nicolas-before-rollout-20260701-160109.json
Marevelx - US-CC-EN/EN-SR - g001-d Icaro,1,ERROR,0,0,0,11,"⚠️ Important update, {{first_name}} I have new information regarding your recent applications, and it may directly affect your credit card approval. Take a moment to review the next steps. 👇 When you're ready, choose your next step below:",🔍 SEE RESPONSE OF MY CARD,https://marevelx.com/mv-us-cc-en-mct-001/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/marevelx---us-cc-en-en-sr---g001-d-icaro-before-rollout-20260701-160109.json
Marevelx - US-CC-EN/EN-SR - g001-d Icaro,2,ERROR,0,0,0,13,"📬 UNCLAIMED PACKAGE — {{first_name}}, a Credit Card package worth $14,200 in limit is sitting unclaimed under your name. It's at the sorting center. Claim the delivery before it gets returned.",🚚 CLAIM DELIVERY,https://marevelx.com/mv-us-cc-en-mct-001-2/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/marevelx---us-cc-en-en-sr---g001-d-icaro-before-rollout-20260701-160109.json
Marevelx - US-CC-EN/EN-SR - g001-d Icaro,3,ERROR,0,0,0,14,"💳 CREDIT CARD APPROVED Congratulations, {{first_name}}! Your new Credit Card is ready for dispatch. We just need you to confirm the delivery address.",🚚 CONFIRM NOW,https://marevelx.com/mv-us-cc-en-mct-002/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/marevelx---us-cc-en-en-sr---g001-d-icaro-before-rollout-20260701-160109.json
Marevelx - US-CC-EN/EN-SR - g001-d Icaro,4,ERROR,0,0,0,16,"✅ DELIVERY CONFIRMED Your card with $15,000 limit is being prepared for dispatch Verify your details to ship.",🚚 SHIP MY CARD,https://marevelx.com/mv-us-cc-en-mct-002-2/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/marevelx---us-cc-en-en-sr---g001-d-icaro-before-rollout-20260701-160109.json
Marevelx - US-CC-EN/EN-SR - g001-d Icaro,5,ERROR,0,0,0,16,"⚡ CARD DISPATCHED — No waiting. {{first_name}}, your Credit Card was approved instantly and is already in the system for delivery. Tap to assign the courier and receive it today.",🚚 ASSIGN COURIER,https://marevelx.com/mv-us-cc-en-mct-003/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/marevelx---us-cc-en-en-sr---g001-d-icaro-before-rollout-20260701-160109.json
Marevelx - US-CC-EN/EN-SR - g001-d Icaro,6,ERROR,0,0,0,16,📦 SHIPMENT UPDATE Your Credit Card package is waiting for one final confirmation before dispatch. Review your information here.,📦 REVIEW INFO,https://marevelx.com/mv-us-cc-en-mct-003-2/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/marevelx---us-cc-en-en-sr---g001-d-icaro-before-rollout-20260701-160109.json
Marevelx - US-CC-EN/EN-SR - g001-d Icaro,7,ERROR,0,0,0,16,"✅ AUTHORIZED: {{first_name}}, you are cleared to activate your new card. No more waiting. Tap to start.",🚀 ACTIVATE NOW,https://marevelx.com/mv-us-cc-en-mct-004/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/marevelx---us-cc-en-en-sr---g001-d-icaro-before-rollout-20260701-160109.json
Marevelx - US-CC-EN/EN-SR - g001-d Icaro,8,ERROR,0,0,0,16,🔔 (1) NEW CARD UPDATE Your Credit Card status has changed to: APPROVED. Tap to see your starting limit and shipping date.,📥 READ STATUS,https://marevelx.com/mv-us-cc-en-mct-005/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/marevelx---us-cc-en-en-sr---g001-d-icaro-before-rollout-20260701-160109.json
Marevelx - US-CC-EN/EN-SR - g001-d Icaro,9,ERROR,0,0,0,5,"✅ REQUEST RECEIVED {{first_name}}, your Credit Card request was received successfully. One confirmation step is available before the next review.",✅ CONFIRM NOW,https://marevelx.com/mv-us-cc-en-mct-005-2/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/marevelx---us-cc-en-en-sr---g001-d-icaro-before-rollout-20260701-160109.json
Marevelx - US-CC-EN/EN-SR - g001-d Icaro,10,ERROR,0,0,0,3,📍 STATUS CONFIRMED Your Credit Card request moved to the final review step. Open the update and finish the process.,🟢 FINISH PROCESS,https://marevelx.com/mv-us-cc-en-mct-006/?utm_source=mct&utm_medium=g001-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/marevelx---us-cc-en-en-sr---g001-d-icaro-before-rollout-20260701-160109.json
Newsoun - US-CC-EN/EN-SR - g005-d Kelly,1,ERROR,9,0,0,12,"⚠️ Important update, {{first_name}} I have new information regarding your recent applications, and it may directly affect your credit card approval. Take a moment to review the next steps. 👇 When you're ready, choose your next step below:",🔍 SEE RESPONSE OF MY CARD,https://newsoun.com/ns-us-cc-en-mct-001/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/newsoun---us-cc-en-en-sr---g005-d-kelly-before-rollout-20260701-160109.json
Newsoun - US-CC-EN/EN-SR - g005-d Kelly,2,ERROR,8,0,0,12,"📬 UNCLAIMED PACKAGE — {{first_name}}, a Credit Card package worth $14,200 in limit is sitting unclaimed under your name. It's at the sorting center. Claim the delivery before it gets returned.",🚚 CLAIM DELIVERY,https://newsoun.com/ns-us-cc-en-mct-001-2/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/newsoun---us-cc-en-en-sr---g005-d-kelly-before-rollout-20260701-160109.json
Newsoun - US-CC-EN/EN-SR - g005-d Kelly,3,ERROR,8,0,0,12,"💳 CREDIT CARD APPROVED Congratulations, {{first_name}}! Your new Credit Card is ready for dispatch. We just need you to confirm the delivery address.",🚚 CONFIRM NOW,https://newsoun.com/ns-us-cc-en-mct-002/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/newsoun---us-cc-en-en-sr---g005-d-kelly-before-rollout-20260701-160109.json
Newsoun - US-CC-EN/EN-SR - g005-d Kelly,4,ERROR,9,0,0,12,"✅ DELIVERY CONFIRMED Your card with $15,000 limit is being prepared for dispatch Verify your details to ship.",🚚 SHIP MY CARD,https://newsoun.com/ns-us-cc-en-mct-002-2/?utm_source=mct&utm_medium=g005-d&utm_campaign=[utm_campaign]&utm_content=[utm_content],/root/mgs-agent/backups/sb-templates/newsoun---us-cc-en-en-sr---g005-d-kelly-before-rollout-20260701-160109.json
